horse_id,birth_date,h_sex,raza,height_m,weight_kg,length_m,max_speed_kmh,h_temperament,h_category,h_career_races,h_career_top3_rate,h_days_since_last_race,h_linaje,h_birth_country,h_current_country,listing_id,seller_id,l_listing_status,l_asking_price_usd,l_price_vs_market_ratio,l_anomaly_score,l_verified_listing,l_created_at,s_first_name,s_last_name,s_verified,s_disputes,s_success_rate,s_num_listings,s_flagged_fraud,s_created_at,s_last_active_at,vet_total_exams,vet_major_issues,vet_avg_confidence
H0,2009-03-21,M,Frisón,1.64,620.0,2.6,42.0,Manso / Dispuesto,Tiro y Cine,15,0.23,170.0,Desconocido,Colombia,Portugal,L217,S46,active,1539883,1.74,0.27,True,2025-05-17 09:46:58.148613,Deborah,Stephens,True,1,0.79,24,False,2022-09-11 11:37:42.495071,2023-01-29 22:17:35.284249,1,0,0.95
H1,1997-08-20,F,Árabe,1.47,367.0,2.2,60.0,Inteligente / Leal,Endurance (Raid),16,0.38,322.0,Sí,Italia,Alemania,L711,S149,sold,1532640,1.51,0.07,True,2025-07-31 01:58:42.132154,Jennifer,Russell,True,0,0.89,8,False,2022-06-09 01:41:13.557497,2025-11-29 14:58:08.317133,2,1,0.7749999999999999
H2,2017-07-01,M,Akhal-Teke,1.55,466.0,2.3,60.0,Independiente,Resistencia,13,0.47,223.0,Sí,México,Arabia Saudita,L525,S111,sold,1539840,1.38,0.4,True,2025-03-22 01:11:36.361882,James,Franklin,False,1,0.93,8,False,2022-03-07 04:04:00.270481,2025-02-27 14:16:16.493038,3,1,0.8333333333333334
H3,2003-10-03,M,Akhal-Teke,1.54,470.0,2.3,60.0,Independiente,Resistencia,15,0.47,39.0,Sí,Turquía,Alemania,L780,S162,active,1549352,1.46,0.44,False,2025-03-04 21:43:58.227521,Katherine,Hernandez,True,0,0.6,7,False,2025-09-27 02:43:24.169475,2025-12-30 19:20:36.415392,2,0,0.97
H4,2011-06-14,M,Appaloosa,1.46,450.0,2.3,59.0,Activo / Resistente,Rutas y Western,11,0.31,299.0,No,Italia,Australia,L602,S125,active,1448338,1.25,0.1,True,2025-12-31 09:11:53.644378,Ashley,Odonnell,True,0,0.7,11,False,2024-07-20 16:04:53.524586,2024-08-08 05:30:31.587085,3,0,0.8766666666666666
H5,2013-04-30,M,Pura Raza Española,1.54,530.0,2.4,45.0,Noble / Dócil,Doma y Exhibición,8,0.48,198.0,Sí,Alemania,Argentina,L98,S23,sold,1404349,1.8,0.6,True,2025-08-02 09:18:40.704740,Luis,Fritz,True,0,0.73,5,False,2023-08-02 17:58:49.414284,2025-01-26 05:29:15.425867,1,1,0.88
H6,2004-08-03,M,Cuarto de Milla,1.55,594.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,15,0.55,75.0,Sí,Colombia,Reino Unido,L580,S120,active,1568107,1.71,0.65,True,2025-05-24 13:23:02.762924,Sean,Martin,True,0,0.91,20,False,2025-07-16 10:00:32.606054,2025-09-15 02:08:32.688635,2,2,0.88
H7,2016-04-30,M,Percherón,1.76,816.0,2.8,30.0,Muy calmado,Tiro pesado,17,,241.0,Sí,EEUU,Francia,L408,S89,active,1508890,1.5,0.68,True,2025-05-14 14:06:51.051061,Aaron,Sawyer,True,0,0.88,9,False,2023-11-09 16:53:21.267379,2025-01-28 23:57:32.716214,2,1,0.88
H8,2005-02-04,F,Hannoveriano,1.65,634.0,2.5,,Equilibrado,Salto y Doma,13,0.38,25.0,No,EEUU,México,L486,S104,sold,1500055,1.77,0.46,True,2025-11-27 04:52:02.002573,Victoria,Rush,True,0,0.79,7,False,2024-01-02 17:19:38.437770,2024-08-15 14:37:02.990980,1,0,0.81
H9,1997-12-27,F,Pura Raza Española,,523.0,2.4,48.0,Noble / Dócil,Doma y Exhibición,12,0.63,387.0,No,Chile,Colombia,L388,S85,active,1514240,1.24,0.28,True,2025-10-16 11:14:21.559240,Charles,Knapp,True,1,0.91,20,False,2022-08-12 20:06:06.731848,2023-05-09 15:23:04.292069,2,1,0.905
H10,2009-01-23,F,Árabe,1.44,416.0,2.2,57.0,Inteligente / Leal,Endurance (Raid),8,0.58,379.0,No,Brasil,Reino Unido,L367,S82,sold,1475295,1.44,0.53,False,2025-11-15 12:52:29.249870,Jennifer,Lee,True,0,0.8,5,False,2025-02-27 14:37:37.753397,2025-08-25 01:09:02.392944,2,0,0.78
H11,2002-09-05,M,Appaloosa,1.42,534.0,2.3,57.0,Activo / Resistente,Rutas y Western,17,0.28,315.0,No,Reino Unido,Qatar,L837,S171,active,1514037,1.59,0.29,True,2025-10-21 02:32:10.763760,Kimberly,Green,True,0,0.94,17,False,2022-12-21 14:14:14.060271,2024-09-14 09:58:25.516215,2,0,0.875
H12,2010-06-01,F,Pura Raza Española,1.56,527.0,2.4,47.0,Noble / Dócil,Doma y Exhibición,11,0.48,36.0,Sí,Chile,Argentina,L119,S26,active,1459516,0.91,0.3,True,2025-05-07 21:54:21.455392,Audrey,Cook,True,3,0.95,17,False,2022-09-25 16:01:52.544809,2024-08-26 22:44:09.465748,2,0,0.785
H13,2006-09-01,M,Appaloosa,1.59,468.0,2.3,59.0,Activo / Resistente,Rutas y Western,12,0.51,231.0,Sí,,Arabia Saudita,L199,S41,sold,1507586,1.52,0.57,True,2025-06-10 03:27:05.904716,Sharon,Rosales,True,0,0.83,15,False,2025-03-14 05:22:14.244977,2026-01-11 01:23:52.081953,3,0,0.8099999999999999
H14,2003-12-08,M,Pura Raza Española,1.56,543.0,2.4,48.0,Noble / Dócil,Doma y Exhibición,18,0.67,197.0,No,Italia,Portugal,L381,S84,active,1502291,1.65,0.74,True,2025-07-03 23:05:15.456401,Brandon,Vazquez,True,2,0.69,4,False,2026-02-08 18:19:58.242026,2026-02-09 12:02:26.944336,3,1,0.9033333333333333
H15,2022-07-02,F,Appaloosa,1.53,481.0,2.3,55.0,Activo / Resistente,Rutas y Western,18,0.12,102.0,No,Chile,España,L492,S105,active,1516164,1.07,0.3,True,2025-05-03 01:01:24.583701,Jessica,Smith,True,0,0.84,6,False,2022-12-27 19:13:59.197795,2023-05-14 07:50:27.091787,3,1,0.85
H16,2002-08-09,F,Akhal-Teke,1.52,459.0,2.3,60.0,Independiente,Resistencia,16,0.27,258.0,Sí,,Italia,L871,S177,sold,1550452,1.13,0.2,True,2025-12-15 02:03:04.191257,Tony,Hawkins,False,0,0.62,16,False,2025-06-10 13:29:17.395228,2025-09-19 03:16:02.020718,2,0,0.7949999999999999
H17,2001-09-29,F,Percherón,1.8,974.0,2.8,27.0,Muy calmado,Tiro pesado,12,0.5,370.0,Sí,México,México,L606,S126,sold,1517679,1.71,0.45,True,2025-12-18 06:05:42.099688,Rachel,Wells,False,0,0.65,13,False,2022-08-19 05:45:34.451738,2025-12-21 05:10:45.000234,3,1,0.91
