horse_id,horse_name,birth_date,h_sex,raza,height_m,weight_kg,length_m,max_speed_kmh,h_temperament,h_category,h_career_races,h_days_since_last_race,h_linaje,listing_id,seller_id,l_listing_status,l_asking_price_usd,l_created_at,s_first_name,s_last_name,s_verified,s_disputes,s_num_listings,s_flagged_fraud,s_created_at,s_last_active_at,vet_total_exams,vet_major_issues,vet_avg_confidence,v_exam_date,completeness,vet_score,seller_score,horse_trust_score
H0,Yet,2005-09-01,F,Cuarto de Milla,1.45,517.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,18.0,384.0,Sí,L0,S126,sold,1492506.0,2025-08-15 07:07:37.850465,Alexander,Davis,True,0.0,19.0,False,2025-12-13 23:21:08.744869,2025-12-26 18:39:26.161093,1.0,1.0,0.74,,1.0,0.0,1.0,0.6000000000000001
H1,Look,2015-04-15,F,Appaloosa,1.41,461.0,2.3,56.0,Activo / Resistente,Rutas y Western,10.0,126.0,No,L0,S180,active,1471513.0,2026-01-25 19:35:43.569061,Timothy,Clark,True,0.0,21.0,False,2025-10-10 11:45:08.629748,2025-12-18 17:31:36.749426,3.0,1.0,0.9033333333333332,,1.0,0.6666666666666667,1.0,0.8666666666666667
H2,South,2007-01-28,F,Pura Sangre Inglés,1.62,487.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,16.0,149.0,Desconocido,L1,S180,active,1495573.0,2025-09-24 00:56:50.733229,Timothy,Clark,True,0.0,21.0,False,2025-10-10 11:45:08.629748,2025-12-18 17:31:36.749426,3.0,1.0,0.7766666666666667,,1.0,0.6666666666666667,1.0,0.8666666666666667
H3,Season,2007-04-19,F,Pura Sangre Inglés,1.63,,2.4,71.0,Nervioso / Atlético,Carreras y Salto,19.0,117.0,Desconocido,L0,S155,active,1476656.0,2025-10-17 09:36:24.435321,Roger,Harper,True,1.0,14.0,False,2024-12-17 14:01:24.367575,2025-04-21 20:41:50.016203,1.0,1.0,0.87,,0.9090909090909091,0.0,0.97,0.5576363636363637
H4,Every,2023-05-29,F,Pura Raza Española,1.51,522.0,2.4,49.0,Noble / Dócil,Doma y Exhibición,11.0,142.0,Desconocido,L0,S53,active,1519274.0,2025-07-31 14:57:39.071626,Charles,Cox,True,0.0,4.0,False,2024-06-23 15:02:38.435730,2025-02-27 01:21:41.595814,2.0,1.0,0.835,,1.0,0.5,1.0,0.8
H5,Unit,2003-12-02,F,Percherón,1.62,875.0,2.8,30.0,Muy calmado,Tiro pesado,13.0,323.0,Desconocido,L0,S1,active,1504235.0,2025-07-06 02:34:16.711394,John,Michael,True,0.0,1.0,False,2023-07-31 20:26:54.647190,2024-03-16 04:54:19.537485,3.0,0.0,0.79,,1.0,1.0,1.0,1.0
H6,Learn,2000-08-18,M,Pura Raza Española,1.5,514.0,2.4,47.0,Noble / Dócil,Doma y Exhibición,14.0,47.0,Desconocido,L0,S50,active,1484514.0,2025-08-22 22:51:38.566951,Evan,Freeman,True,0.0,15.0,False,2022-10-25 03:36:34.726153,2023-05-17 16:52:03.763439,1.0,0.0,0.96,,1.0,1.0,1.0,1.0
H7,Future,1998-05-30,F,Cuarto de Milla,1.53,546.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,16.0,90.0,Sí,L0,S163,sold,1451914.0,2025-05-21 20:31:57.720881,Leslie,Sanchez,True,0.0,4.0,False,2022-08-09 00:22:46.980873,2026-01-26 21:46:35.748704,1.0,0.0,0.75,,1.0,1.0,1.0,1.0
H8,Discover,2019-04-02,M,Hannoveriano,,615.0,2.5,50.0,Equilibrado,Salto y Doma,12.0,90.0,No,L0,S101,active,1570219.0,2025-04-02 06:10:14.299962,Kristin,Castillo,False,0.0,13.0,False,2023-04-11 00:44:35.772252,2024-03-29 00:50:38.112177,1.0,1.0,0.95,,0.9090909090909091,0.0,0.6,0.48363636363636364
H9,Word,2013-06-13,M,Akhal-Teke,1.57,473.0,2.3,60.0,Independiente,Resistencia,14.0,,No,L0,S28,sold,1498053.0,2025-07-07 08:02:31.596887,Kristine,Dixon,True,1.0,1.0,False,2025-10-17 13:42:58.919894,2026-01-22 22:53:02.070947,3.0,0.0,0.8033333333333333,,0.9090909090909091,1.0,0.97,0.9576363636363636
H10,Above,2020-01-23,F,Hannoveriano,1.63,613.0,2.5,,Equilibrado,Salto y Doma,11.0,297.0,Desconocido,L0,S71,active,1480323.0,2025-06-23 04:03:05.859059,Andrea,Crawford,True,0.0,25.0,False,2024-10-03 06:50:56.070942,2025-07-04 07:52:16.672859,1.0,0.0,0.75,,0.9090909090909091,1.0,1.0,0.9636363636363636
H11,Other,2016-12-13,F,Pura Raza Española,1.54,541.0,2.4,48.0,Noble / Dócil,Doma y Exhibición,16.0,80.0,Sí,L0,S145,active,1467019.0,2025-11-19 05:14:14.615865,Alexis,Bell,True,2.0,20.0,False,2024-08-06 08:39:36.537466,2025-08-02 15:09:53.906775,1.0,0.0,0.99,,1.0,1.0,0.94,0.988
H12,To,1999-06-05,F,Hannoveriano,1.67,627.0,2.5,50.0,Equilibrado,Salto y Doma,16.0,,Sí,L0,S128,active,1505650.0,2025-12-02 09:28:18.163923,Rebekah,Deleon,True,0.0,24.0,False,2024-05-13 22:17:05.700853,2024-07-19 07:56:54.203701,1.0,0.0,0.82,,0.9090909090909091,1.0,1.0,0.9636363636363636
H13,Number,2004-12-16,F,Hannoveriano,1.61,,2.5,50.0,Equilibrado,Salto y Doma,13.0,63.0,Sí,L1,S126,active,1410470.0,2025-05-12 00:20:51.600292,Alexander,Davis,True,0.0,19.0,False,2025-12-13 23:21:08.744869,2025-12-26 18:39:26.161093,1.0,0.0,0.76,,0.9090909090909091,1.0,1.0,0.9636363636363636
H14,Ask,1995-03-05,M,Árabe,1.44,426.0,2.2,58.0,Inteligente / Leal,Endurance (Raid),17.0,277.0,Sí,L0,S43,active,1479881.0,2025-12-24 03:32:23.562051,Victor,Hull,True,0.0,17.0,True,2022-03-12 19:54:34.906465,2023-08-22 21:03:17.524272,3.0,1.0,0.8966666666666666,,1.0,0.6666666666666667,0.7,0.8066666666666668
H15,Practice,2023-09-18,M,Appaloosa,,518.0,2.3,57.0,Activo / Resistente,Rutas y Western,10.0,400.0,No,L0,S141,sold,1503408.0,2025-06-13 05:58:49.435110,Raymond,Diaz,True,0.0,17.0,False,2023-01-30 09:56:01.012915,2024-08-16 12:17:56.600408,2.0,0.0,0.8200000000000001,,0.9090909090909091,1.0,1.0,0.9636363636363636
H16,Last,2016-05-27,M,Cuarto de Milla,1.49,592.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,12.0,375.0,Sí,L0,S49,withdrawn,1446455.0,2025-08-31 11:10:10.028270,Kevin,Avila,True,0.0,20.0,False,2025-03-24 18:43:29.918245,2025-12-13 07:59:41.096818,1.0,0.0,0.73,,1.0,1.0,1.0,1.0
H17,Economy,2024-01-19,M,Appaloosa,1.57,488.0,2.3,60.0,Activo / Resistente,Rutas y Western,13.0,,No,L0,S168,active,1492566.0,2025-02-18 02:11:14.949240,Jessica,Coleman,True,0.0,18.0,False,2022-10-20 13:51:39.135748,2023-02-13 03:27:39.667354,2.0,1.0,0.865,,0.9090909090909091,0.5,1.0,0.7636363636363637
H18,Small,2016-07-31,M,Árabe,1.45,449.0,2.2,59.0,Inteligente / Leal,Endurance (Raid),15.0,7.0,No,L0,S189,active,1452128.0,2025-10-31 08:51:06.712866,Nancy,James,True,0.0,3.0,False,2023-06-09 06:02:46.501173,2025-09-22 02:25:42.300567,3.0,2.0,0.8300000000000001,,1.0,0.33333333333333337,1.0,0.7333333333333334
H19,Either,1996-07-15,F,Percherón,1.78,878.0,2.8,26.0,Muy calmado,Tiro pesado,9.0,36.0,Sí,L0,S144,sold,1490537.0,2025-05-21 09:16:08.223924,Robert,Hodges,True,0.0,19.0,False,2025-07-17 18:20:59.387365,2025-12-29 07:49:25.866156,1.0,0.0,0.73,,1.0,1.0,1.0,1.0
H20,Customer,2016-07-13,F,Shetland (Poni),,198.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,6.0,279.0,No,L0,S172,active,1470815.0,2025-04-17 02:35:03.943523,Anthony,Guzman,True,0.0,22.0,False,2024-03-02 19:44:19.350926,2024-12-14 19:19:35.910795,3.0,0.0,0.8533333333333334,,0.9090909090909091,1.0,1.0,0.9636363636363636
H21,Minute,2019-02-26,M,Árabe,1.43,427.0,2.2,58.0,Inteligente / Leal,Endurance (Raid),14.0,,Desconocido,L0,S174,withdrawn,1541948.0,2026-01-07 08:23:47.699530,Jacob,Harris,True,0.0,10.0,True,2022-11-11 10:12:03.291575,2023-12-16 19:26:41.217735,1.0,0.0,0.93,,0.9090909090909091,1.0,0.7,0.9036363636363637
H22,Much,2017-08-27,F,Hannoveriano,1.64,633.0,2.5,50.0,Equilibrado,Salto y Doma,19.0,238.0,Sí,L0,S154,active,1438107.0,2025-06-04 07:02:14.744464,Frank,Delgado,True,0.0,10.0,False,2023-02-03 16:11:46.910299,2026-02-09 12:09:18.237360,2.0,0.0,0.8,,1.0,1.0,1.0,1.0
H23,Answer,2013-10-26,M,Hannoveriano,1.66,614.0,2.5,50.0,Equilibrado,Salto y Doma,12.0,308.0,Sí,L1,S144,sold,1545424.0,2026-01-23 22:29:08.847269,Robert,Hodges,True,0.0,19.0,False,2025-07-17 18:20:59.387365,2025-12-29 07:49:25.866156,1.0,0.0,0.73,,1.0,1.0,1.0,1.0
H24,Professor,1999-01-26,M,Cuarto de Milla,,504.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,10.0,176.0,Sí,L0,S44,withdrawn,1466727.0,2025-12-27 07:30:20.029409,Donna,Brown,False,1.0,14.0,False,2024-02-03 07:53:30.577962,2025-02-08 14:04:31.289171,2.0,0.0,0.89,,0.9090909090909091,1.0,0.5700000000000001,0.8776363636363637
H25,Wish,1999-11-17,F,Hannoveriano,1.62,608.0,2.5,50.0,Equilibrado,Salto y Doma,18.0,377.0,Desconocido,L0,S16,active,1517580.0,2025-07-20 03:02:13.682420,Nathaniel,Mann,True,1.0,7.0,False,2025-08-29 11:29:05.384061,2025-12-07 00:18:33.295196,1.0,0.0,0.81,,1.0,1.0,0.97,0.994
H26,Provide,2024-02-12,M,Shetland (Poni),1.01,176.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,17.0,104.0,Sí,L0,S150,active,1503734.0,2025-10-05 18:47:48.236994,Ashley,Smith,True,0.0,10.0,False,2022-03-11 09:43:52.810697,2025-07-09 19:40:16.791082,3.0,1.0,0.8333333333333334,,1.0,0.6666666666666667,1.0,0.8666666666666667
H27,War,2001-05-28,F,Frisón,1.65,786.0,2.6,40.0,Manso / Dispuesto,Tiro y Cine,18.0,351.0,No,L0,S32,sold,1463125.0,2025-03-11 06:23:07.705653,Bryan,Hoffman,True,1.0,15.0,False,2024-07-15 01:35:26.330235,2025-03-16 05:37:08.762194,3.0,0.0,0.8333333333333334,,1.0,1.0,0.97,0.994
H28,Ok,2000-05-04,F,Cuarto de Milla,1.56,513.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,13.0,134.0,Sí,L0,S190,active,1591266.0,2025-03-26 23:45:41.210941,Cheryl,Strickland,True,0.0,22.0,False,2023-09-05 11:49:07.486192,2025-10-09 20:58:10.669388,3.0,0.0,0.9466666666666668,,1.0,1.0,1.0,1.0
H29,Crime,2008-12-13,F,Appaloosa,1.44,509.0,2.3,56.0,Activo / Resistente,Rutas y Western,20.0,45.0,No,L1,S16,sold,1531157.0,2025-07-19 06:15:44.462931,Nathaniel,Mann,True,1.0,7.0,False,2025-08-29 11:29:05.384061,2025-12-07 00:18:33.295196,2.0,0.0,0.8,,1.0,1.0,0.97,0.994
